post_id,date,platform,topic,text,likes,retweets,sentiment
POST01872,2025-10-23 13:00,Twitter,airline service,"Mixed feelings about airline service, some parts great some not.",20,7,Neutral
POST00722,2025-06-18 11:00,Instagram,cloud gaming service,The cloud gaming service is scheduled for release next week.,7,15,Neutral
POST01668,2025-03-05 12:00,Twitter,customer support,"Feeling let down by customer support, it just doesn't work as promised. 😞",23,1,Negative
POST01392,2025-06-15 04:00,Twitter,laptop brand,"Really disappointed with laptop brand, expected way better. 😡",24,21,Negative
POST00589,2025-04-17 14:00,Facebook,airline service,"The airline service exceeded my expectations, five stars from me. ❤️",9,10,Positive
POST01817,2025-01-22 18:00,Twitter,cloud gaming service,Loved the cloud gaming service at first but the recent update is buggy.,11,0,Negative
POST01104,2025-07-09 17:00,Twitter,online banking app,"Really disappointed with online banking app, expected way better. 😡",15,4,Negative
POST01129,2025-09-11 13:00,Instagram,streaming app,"Can't stop recommending streaming app to my friends, it's brilliant. 🔥",52,2,Positive
POST01975,2025-09-23 23:00,Facebook,streaming app,"The streaming app is okay I guess, nothing special but works.",42,4,Neutral
POST01238,2025-12-14 17:00,Instagram,new smartphone,"The new smartphone keeps crashing, so frustrating to deal with. 👎",14,3,Negative
POST00030,2025-01-30 07:00,Instagram,online banking app,"Feeling let down by online banking app, it just doesn't work as promised. 😡",26,2,Negative
POST00545,2025-02-05 16:00,Instagram,cloud gaming service,"Feeling let down by cloud gaming service, it just doesn't work as promised. 😡",19,10,Negative
POST00454,2025-04-28 06:00,Twitter,fitness tracker,"Feeling let down by fitness tracker, it just doesn't work as promised.",29,0,Negative
POST01059,2025-08-31 01:00,YouTube,cloud gaming service,"Best cloud gaming service I've used so far, highly recommend it to everyone! ❤️",5,8,Positive
POST00603,2025-05-24 12:00,Twitter,new smartphone,"Worst experience ever with new smartphone, would not recommend.",2,0,Positive
POST00057,2025-07-09 09:00,Instagram,airline service,"Best airline service I've used so far, highly recommend it to everyone! ❤️",22,9,Positive
POST01794,2025-01-11 04:00,Twitter,airline service,"Best airline service I've used so far, highly recommend it to everyone! 👍",6,5,Positive
POST00549,2025-11-27 02:00,Facebook,food delivery app,"Huge shoutout to the team behind food delivery app, amazing job!",35,1,Positive
POST01118,2025-05-06 15:00,Twitter,e-commerce sale,"The e-commerce sale keeps crashing, so frustrating to deal with. 👎",28,2,Negative
POST00252,2025-09-26 02:00,YouTube,customer support,"Can't stop recommending customer support to my friends, it's brilliant. 👍",3,12,Positive
POST00100,2025-10-22 12:00,Twitter,electric car,"Great value for money with electric car, totally worth it. 😊",24,0,Positive
POST01345,2025-12-16 07:00,YouTube,customer support,"The customer support exceeded my expectations, five stars from me. 🔥",122,1,Positive
POST00907,2025-06-16 15:00,Facebook,new smartphone,The new smartphone is scheduled for release next week.,0,9,Neutral
POST00299,2025-01-09 11:00,Facebook,laptop brand,"The laptop brand keeps crashing, so frustrating to deal with. 👎",2,1,Negative
POST01559,2025-06-19 23:00,YouTube,food delivery app,"Not happy at all with food delivery app, total waste of money. 😞",26,0,Negative
POST00926,2025-01-29 08:00,Instagram,airline service,"Not happy at all with airline service, total waste of money. 😡",0,0,Negative
POST01285,2025-06-10 03:00,Twitter,customer support,"The customer support update ruined everything, please fix this asap. 😡",33,4,Negative
POST02012,2025-05-31 19:00,YouTube,e-commerce sale,"Decent e-commerce sale, does the job but support could be faster.",12,5,Neutral
POST01867,2025-12-14 13:00,Instagram,laptop brand,"The laptop brand is fine, price is a bit high though.",11,6,Neutral
POST01325,2025-12-06 17:00,YouTube,online banking app,"Super smooth experience with online banking app today, very happy customer here. 🔥",30,2,Positive
POST01547,2025-10-31 06:00,Twitter,new smartphone,"Attended a webinar about new smartphone, learned a few things. 🤔",20,11,Neutral
POST00528,2025-10-23 20:00,Instagram,new movie release,"The new movie release exceeded my expectations, five stars from me. ❤️",22,5,Positive
POST01445,2025-04-16 11:00,Twitter,streaming app,"Worst experience ever with streaming app, would not recommend. 👎",12,1,Negative
POST01256,2025-08-02 05:00,Facebook,cloud gaming service,"Great value for money with cloud gaming service, totally worth it. 🔥",22,4,Positive
POST00071,2025-04-24 06:00,YouTube,new smartphone,"The new smartphone update ruined everything, please fix this asap. 👎",14,4,Negative
POST00276,2025-09-17 17:00,Twitter,online banking app,"Read an article about online banking app today, fairly informative. 🤔",5,1,Neutral
POST01055,2025-01-06 20:00,Instagram,fitness tracker,"Huge shoutout to the team behind fitness tracker, amazing job! 👍",17,0,Positive
POST00412,2025-03-02 05:00,Facebook,cloud gaming service,"Really impressed by how well cloud gaming service performs, well done! ❤️",26,3,Positive
POST00066,2025-08-09 04:00,Instagram,laptop brand,"Absolutely loving the laptop brand, works flawlessly! #happy 👍",32,18,Positive
POST00618,2025-10-28 03:00,YouTube,laptop brand,Here's a quick overview of the new laptop brand update.,23,7,Neutral
POST01010,2025-10-13 17:00,Twitter,laptop brand,"The laptop brand keeps crashing, so frustrating to deal with. 😞",13,4,Negative
POST01569,2025-03-08 06:00,Instagram,airline service,Why is airline service so slow today? Getting really annoyed.,6,6,Negative
POST01229,2025-12-31 17:00,Instagram,streaming app,"Terrible customer support for streaming app, waited hours for a reply. 😞",10,10,Negative
POST00999,2025-09-14 14:00,Instagram,streaming app,"Really impressed by how well streaming app performs, well done! 😊",50,1,Positive
POST01407,2025-03-18 04:00,Facebook,new movie release,"Terrible customer support for new movie release, waited hours for a reply. 😞",3,1,Negative
POST01499,2025-07-31 10:00,Instagram,laptop brand,The laptop brand has some new features this month.,11,2,Neutral
POST00112,2025-07-08 05:00,Facebook,new movie release,"The customer service for new movie release was fantastic, quick and helpful.",1,0,Positive
POST00353,2025-07-05 17:00,Instagram,new smartphone,The new smartphone has some new features this month. 🤔,6,2,Neutral
POST01138,2025-06-10 17:00,Instagram,laptop brand,"Absolutely loving the laptop brand, works flawlessly! #happy 😊",0,3,Positive
POST00862,2025-10-14 02:00,Twitter,customer support,"Extremely poor service from customer support, never again. 👎",10,3,Negative
POST01062,2025-04-17 18:00,Twitter,fitness tracker,"Super smooth experience with fitness tracker today, very happy customer here. 👍",18,6,Positive
POST00573,2025-03-03 16:00,Facebook,airline service,"Absolutely loving the airline service, works flawlessly! #happy 🔥",29,32,Positive
POST00927,2025-04-03 06:00,YouTube,fitness tracker,"Terrible customer support for fitness tracker, waited hours for a reply.",2,0,Negative
POST01408,2025-06-01 18:00,YouTube,fitness tracker,"Really disappointed with fitness tracker, expected way better. 😡",27,6,Negative
POST00439,2025-09-13 17:00,Instagram,e-commerce sale,"The e-commerce sale broke down after just one week, very poor quality. 👎",12,2,Negative
POST01344,2025-12-25 03:00,Facebook,new movie release,"Super smooth experience with new movie release today, very happy customer here.",27,2,Positive
POST00747,2025-12-04 18:00,YouTube,new movie release,"Really impressed by how well new movie release performs, well done! 🔥",6,12,Positive
POST01394,2025-12-02 19:00,Twitter,laptop brand,"Great value for money with laptop brand, totally worth it. 👍",12,8,Positive
POST01447,2025-06-21 04:00,Facebook,cloud gaming service,"Just tried the cloud gaming service and I'm impressed, great experience overall. 🔥",6,4,Positive
POST00544,2025-06-03 04:00,Facebook,laptop brand,"Not happy at all with laptop brand, total waste of money. 😞",16,1,Negative
POST01305,2025-12-28 05:00,Facebook,streaming app,"Great value for money with streaming app, totally worth it. ❤️",95,26,Positive
POST01193,2025-08-23 23:00,Instagram,laptop brand,"Huge shoutout to the team behind laptop brand, amazing job! 👍",16,10,Positive
POST01005,2025-09-24 21:00,YouTube,electric car,"The customer service for electric car was fantastic, quick and helpful. 🔥",10,7,Positive
POST00070,2025-05-17 05:00,Instagram,customer support,"The customer support keeps crashing, so frustrating to deal with.",0,0,Negative
POST00768,2025-10-12 08:00,Facebook,customer support,"Worst experience ever with customer support, would not recommend. 😞",8,1,Negative
POST00556,2025-01-31 12:00,Twitter,food delivery app,"Read an article about food delivery app today, fairly informative.",2,10,Neutral
POST01369,2025-05-15 07:00,Facebook,new smartphone,"The customer service for new smartphone was fantastic, quick and helpful. ❤️",27,26,Positive
POST01302,2025-10-05 10:00,Facebook,new movie release,"Really impressed by how well new movie release performs, well done!",46,5,Positive
POST01692,2025-07-02 10:00,Twitter,customer support,"Just tried the customer support and I'm impressed, great experience overall. 😊",89,5,Positive
POST01542,2025-02-03 03:00,YouTube,online banking app,"Really disappointed with online banking app, expected way better. 😡",34,4,Negative
POST00583,2025-10-25 03:00,Twitter,new movie release,"Really impressed by how well new movie release performs, well done! 🔥",7,11,Positive
POST00600,2025-03-30 11:00,YouTube,cloud gaming service,"Huge shoutout to the team behind cloud gaming service, amazing job! 🔥",1,0,Positive
POST00591,2025-03-17 02:00,Facebook,food delivery app,Why is food delivery app so slow today? Getting really annoyed. 👎,18,8,Positive
POST01601,2025-11-24 09:00,YouTube,e-commerce sale,"Just tried the e-commerce sale and I'm impressed, great experience overall. 🔥",1,19,Positive
POST00679,2025-09-04 02:00,Twitter,online banking app,"The online banking app broke down after just one week, very poor quality. 👎",5,0,Negative
POST01906,2025-02-13 18:00,Facebook,food delivery app,"The food delivery app is okay I guess, nothing special but works.",0,4,Neutral
POST01819,2025-06-04 23:00,Facebook,e-commerce sale,"The e-commerce sale is fine, price is a bit high though.",2,7,Neutral
POST01091,2025-06-04 17:00,Twitter,laptop brand,"Great value for money with laptop brand, totally worth it. ❤️",0,10,Positive
POST00706,2025-10-29 16:00,Twitter,food delivery app,"Best food delivery app I've used so far, highly recommend it to everyone! 😊",14,7,Neutral
POST00465,2025-02-12 08:00,Twitter,electric car,"Best electric car I've used so far, highly recommend it to everyone! ❤️",18,3,Positive
POST00515,2025-09-08 05:00,YouTube,electric car,"The electric car keeps crashing, so frustrating to deal with. 😡",3,13,Negative
POST01650,2025-09-24 13:00,Twitter,cloud gaming service,The cloud gaming service has some new features this month. 🤔,19,7,Neutral
POST01952,2025-08-23 04:00,Instagram,new smartphone,"Decent new smartphone, does the job but support could be faster.",8,1,Neutral
POST00874,2025-03-03 02:00,Twitter,streaming app,"Great value for money with streaming app, totally worth it.",38,17,Positive
POST01294,2025-03-04 07:00,YouTube,food delivery app,"Can't stop recommending food delivery app to my friends, it's brilliant. ❤️",17,10,Positive
POST00129,2025-05-19 09:00,YouTube,laptop brand,The laptop brand has some new features this month. 🤔,19,1,Neutral
POST01380,2025-07-04 13:00,Facebook,new movie release,"The new movie release exceeded my expectations, five stars from me. 👍",27,6,Positive
POST01690,2025-06-22 19:00,YouTube,new movie release,"Can't stop recommending new movie release to my friends, it's brilliant. 👍",63,0,Positive
POST00533,2025-05-26 10:00,Facebook,online banking app,"Really impressed by how well online banking app performs, well done!",2,0,Positive
POST00858,2025-07-27 18:00,YouTube,laptop brand,"Saw an ad for laptop brand today, might check it out later. 🤔",4,2,Neutral
POST00938,2025-12-26 17:00,Instagram,cloud gaming service,"The cloud gaming service keeps crashing, so frustrating to deal with. 😞",13,0,Negative
POST00362,2025-08-02 18:00,Twitter,cloud gaming service,The cloud gaming service has some new features this month. 🤔,34,2,Neutral
POST00577,2025-07-08 18:00,YouTube,food delivery app,The food delivery app is scheduled for release next week. 🤔,11,1,Neutral
POST01914,2025-04-21 21:00,Instagram,electric car,"The electric car is okay I guess, nothing special but works.",5,1,Neutral
POST00257,2025-08-26 18:00,YouTube,cloud gaming service,"The customer service for cloud gaming service was fantastic, quick and helpful. ❤️",43,0,Positive
POST01240,2025-01-29 19:00,Facebook,airline service,"Huge shoutout to the team behind airline service, amazing job!",14,2,Positive
POST01090,2025-09-18 03:00,Instagram,e-commerce sale,"Not happy at all with e-commerce sale, total waste of money. 😡",11,4,Negative
POST00487,2025-10-06 01:00,YouTube,fitness tracker,"Super smooth experience with fitness tracker today, very happy customer here.",26,4,Positive
POST00343,2025-07-09 16:00,Instagram,customer support,"Read an article about customer support today, fairly informative. 🤔",22,1,Neutral
POST00813,2025-09-21 04:00,Instagram,cloud gaming service,"Great value for money with cloud gaming service, totally worth it. 🔥",10,6,Positive
POST01176,2025-04-02 02:00,Twitter,new smartphone,"The customer service for new smartphone was fantastic, quick and helpful. 👍",90,11,Positive
POST01042,2025-12-08 18:00,Twitter,streaming app,"Feeling let down by streaming app, it just doesn't work as promised. 👎",15,3,Neutral
POST01581,2025-08-27 16:00,Twitter,food delivery app,"Feeling let down by food delivery app, it just doesn't work as promised. 👎",1,0,Negative
POST01891,2025-06-22 14:00,YouTube,new movie release,"Decent new movie release, does the job but support could be faster.",0,1,Neutral
POST00308,2025-09-12 22:00,Instagram,laptop brand,"The laptop brand update ruined everything, please fix this asap. 👎",26,6,Negative
POST01420,2025-01-14 06:00,Instagram,new smartphone,"The new smartphone update ruined everything, please fix this asap. 😞",5,2,Negative
POST00520,2025-06-02 01:00,Instagram,airline service,"The airline service update ruined everything, please fix this asap. 👎",21,9,Negative
POST01122,2025-02-01 20:00,Facebook,electric car,"Great value for money with electric car, totally worth it.",69,8,Positive
POST00681,2025-01-30 19:00,Instagram,streaming app,Comparing streaming app with other options currently available.,9,2,Neutral
POST00234,2025-12-26 09:00,Facebook,streaming app,"The streaming app broke down after just one week, very poor quality. 👎",9,0,Negative
POST00232,2025-05-23 18:00,Twitter,laptop brand,"Huge shoutout to the team behind laptop brand, amazing job! ❤️",3,7,Positive
POST00584,2025-02-08 18:00,YouTube,cloud gaming service,"The customer service for cloud gaming service was fantastic, quick and helpful. 😊",19,1,Positive
POST01551,2025-03-17 15:00,Instagram,online banking app,"The online banking app exceeded my expectations, five stars from me.",31,5,Positive
POST01838,2025-11-17 00:00,Twitter,laptop brand,"Decent laptop brand, does the job but support could be faster.",0,2,Neutral
POST00893,2025-07-30 03:00,Twitter,laptop brand,"Super smooth experience with laptop brand today, very happy customer here.",1,0,Positive
POST01232,2025-12-07 10:00,Twitter,food delivery app,"Super smooth experience with food delivery app today, very happy customer here. 🔥",10,0,Positive
POST00789,2025-11-07 02:00,Facebook,online banking app,"Terrible customer support for online banking app, waited hours for a reply.",0,0,Negative
POST00839,2025-07-15 11:00,YouTube,food delivery app,"Feeling let down by food delivery app, it just doesn't work as promised. 😡",31,0,Negative
POST01086,2025-03-15 19:00,Instagram,food delivery app,"The food delivery app exceeded my expectations, five stars from me. 👍",29,1,Positive
POST00355,2025-07-21 11:00,Twitter,streaming app,Here's a quick overview of the new streaming app update.,6,2,Neutral
POST01693,2025-03-13 00:00,YouTube,new movie release,"Feeling let down by new movie release, it just doesn't work as promised. 😡",3,2,Negative
POST01158,2025-02-11 14:00,Facebook,fitness tracker,The fitness tracker has some new features this month. 🤔,11,4,Neutral
POST01785,2025-09-07 00:00,Twitter,customer support,"Best customer support I've used so far, highly recommend it to everyone! 👍",19,6,Positive
POST00306,2025-12-02 10:00,Twitter,laptop brand,"Terrible customer support for laptop brand, waited hours for a reply. 😡",4,11,Negative
POST00472,2025-12-17 12:00,Instagram,food delivery app,"Best food delivery app I've used so far, highly recommend it to everyone! 🔥",18,22,Positive
POST01683,2025-04-06 06:00,Instagram,new movie release,"Really disappointed with new movie release, expected way better. 😞",9,1,Negative
POST00932,2025-04-12 11:00,Facebook,new movie release,"Absolutely loving the new movie release, works flawlessly! #happy 🔥",14,7,Positive
POST01566,2025-07-14 20:00,Instagram,cloud gaming service,"The cloud gaming service was launched today, here are the specifications.",8,2,Neutral
POST01481,2025-01-02 03:00,YouTube,electric car,"Read an article about electric car today, fairly informative.",21,1,Neutral
POST01111,2025-03-12 20:00,Twitter,streaming app,"Not happy at all with streaming app, total waste of money.",16,0,Negative
POST01587,2025-06-20 06:00,Instagram,new smartphone,"The new smartphone broke down after just one week, very poor quality. 👎",53,2,Negative
POST01271,2025-03-30 22:00,Facebook,new movie release,"Terrible customer support for new movie release, waited hours for a reply. 😡",7,1,Negative
POST00819,2025-07-07 18:00,YouTube,customer support,"The customer support keeps crashing, so frustrating to deal with. 👎",1,2,Negative
POST00121,2025-08-26 18:00,Instagram,new movie release,"The customer service for new movie release was fantastic, quick and helpful. ❤️",25,4,Positive
POST01361,2025-01-11 00:00,Instagram,customer support,"Extremely poor service from customer support, never again. 😞",3,3,Negative
POST01894,2025-12-15 14:00,YouTube,customer support,"The customer support is okay I guess, nothing special but works.",5,2,Negative
POST00820,2025-09-22 12:00,Instagram,customer support,"The customer support broke down after just one week, very poor quality. 👎",8,2,Negative
POST01164,2025-07-27 03:00,Twitter,laptop brand,Why is laptop brand so slow today? Getting really annoyed.,1,3,Negative
POST00428,2025-08-19 11:00,Twitter,laptop brand,"The laptop brand keeps crashing, so frustrating to deal with. 😞",9,0,Negative
POST00136,2025-04-05 01:00,Facebook,new movie release,The new movie release has some new features this month.,5,0,Neutral
POST01508,2025-01-01 01:00,Instagram,online banking app,"The online banking app update ruined everything, please fix this asap. 👎",26,3,Negative
POST00375,2025-06-26 04:00,YouTube,customer support,The customer support has some new features this month. 🤔,19,4,Neutral
POST00317,2025-11-06 04:00,Twitter,customer support,The customer support is scheduled for release next week.,10,3,Neutral
POST00430,2025-04-07 18:00,Twitter,new smartphone,"Really impressed by how well new smartphone performs, well done! 🔥",0,0,Positive
POST00255,2025-05-01 03:00,Instagram,laptop brand,"Best laptop brand I've used so far, highly recommend it to everyone! 👍",34,0,Positive
POST00415,2025-03-21 08:00,Facebook,new movie release,"Saw an ad for new movie release today, might check it out later. 🤔",22,5,Neutral
POST01126,2025-02-27 19:00,Twitter,online banking app,"Not sure yet what to think about online banking app, still testing it out. 🤔",17,0,Neutral
POST00110,2025-01-11 19:00,Instagram,food delivery app,"Worst experience ever with food delivery app, would not recommend. 😞",6,1,Negative
POST01675,2025-09-23 06:00,Twitter,customer support,Comparing customer support with other options currently available. 🤔,15,10,Negative
POST01250,2025-02-15 00:00,YouTube,airline service,"Not happy at all with airline service, total waste of money. 👎",6,8,Negative
POST00571,2025-04-02 01:00,Instagram,customer support,"Really impressed by how well customer support performs, well done! ❤️",1,12,Positive
POST00240,2025-09-06 19:00,YouTube,new movie release,The new movie release is scheduled for release next week.,1,5,Neutral
POST01608,2025-04-16 09:00,Instagram,food delivery app,"Can't stop recommending food delivery app to my friends, it's brilliant. ❤️",11,3,Positive
POST00394,2025-06-04 18:00,Facebook,online banking app,"Feeling let down by online banking app, it just doesn't work as promised. 😡",39,1,Negative
POST01135,2025-08-10 19:00,Facebook,airline service,The airline service has some new features this month.,4,5,Neutral
POST00213,2025-12-05 00:00,Twitter,streaming app,"Worst experience ever with streaming app, would not recommend. 😡",3,1,Negative
POST01570,2025-06-12 19:00,Facebook,electric car,"Can't stop recommending electric car to my friends, it's brilliant. 🔥",42,8,Positive
POST01375,2025-09-16 19:00,Facebook,new smartphone,"Not happy at all with new smartphone, total waste of money. 👎",27,6,Negative
POST00782,2025-10-03 22:00,Instagram,airline service,"Can't stop recommending airline service to my friends, it's brilliant. 😊",71,8,Positive
POST01770,2025-02-13 23:00,Twitter,streaming app,"The streaming app exceeded my expectations, five stars from me.",54,17,Positive
POST00352,2025-07-26 11:00,Facebook,electric car,"Just started using electric car, will share my thoughts soon.",74,1,Neutral
POST01428,2025-04-29 22:00,YouTube,electric car,"Just started using electric car, will share my thoughts soon. 🤔",2,0,Neutral
POST00580,2025-06-07 03:00,YouTube,new smartphone,"Huge shoutout to the team behind new smartphone, amazing job!",11,4,Positive
POST00345,2025-02-19 01:00,Instagram,food delivery app,"The food delivery app exceeded my expectations, five stars from me. ❤️",3,0,Positive
POST00773,2025-04-24 06:00,Facebook,airline service,"Super smooth experience with airline service today, very happy customer here. 👍",12,4,Positive
POST00282,2025-07-15 16:00,Facebook,new movie release,"Read an article about new movie release today, fairly informative.",1,2,Neutral
POST01563,2025-04-12 09:00,Instagram,new smartphone,"Best new smartphone I've used so far, highly recommend it to everyone! 🔥",0,6,Positive
POST00531,2025-02-17 23:00,Twitter,laptop brand,"The laptop brand update ruined everything, please fix this asap. 👎",56,0,Negative
POST01272,2025-04-24 04:00,Twitter,electric car,"Worst experience ever with electric car, would not recommend. 😞",3,3,Negative
POST01613,2025-06-27 22:00,YouTube,cloud gaming service,"The cloud gaming service exceeded my expectations, five stars from me. ❤️",13,0,Positive
POST01161,2025-04-08 04:00,YouTube,airline service,"Absolutely loving the airline service, works flawlessly! #happy 🔥",21,2,Positive
POST02011,2025-01-18 16:00,Instagram,new movie release,"The new movie release is okay I guess, nothing special but works.",18,2,Neutral
POST00212,2025-05-22 04:00,Twitter,streaming app,"Worst experience ever with streaming app, would not recommend. 👎",1,2,Negative
POST00351,2025-02-25 13:00,Twitter,fitness tracker,"Not sure yet what to think about fitness tracker, still testing it out.",9,11,Neutral
POST00325,2025-12-31 22:00,Instagram,online banking app,"Not sure yet what to think about online banking app, still testing it out.",2,0,Neutral
POST00562,2025-06-08 21:00,Twitter,e-commerce sale,"Not sure yet what to think about e-commerce sale, still testing it out. 🤔",1,7,Negative
POST01808,2025-05-07 10:00,YouTube,laptop brand,"Decent laptop brand, does the job but support could be faster.",0,1,Neutral
POST00713,2025-02-24 15:00,Twitter,online banking app,"Huge shoutout to the team behind online banking app, amazing job!",32,1,Positive
POST01624,2025-08-13 04:00,Instagram,fitness tracker,The fitness tracker is scheduled for release next week.,5,0,Neutral
POST02013,2025-01-16 03:00,YouTube,laptop brand,"The laptop brand is fine, price is a bit high though.",1,1,Neutral
POST00050,2025-01-30 16:00,Instagram,new movie release,"The new movie release keeps crashing, so frustrating to deal with. 😞",0,1,Negative
POST00211,2025-10-28 06:00,Instagram,airline service,Why is airline service so slow today? Getting really annoyed. 👎,27,2,Negative
POST01327,2025-01-10 20:00,Instagram,cloud gaming service,"Really impressed by how well cloud gaming service performs, well done! 🔥",13,14,Positive
POST01360,2025-08-01 11:00,Twitter,food delivery app,"Best food delivery app I've used so far, highly recommend it to everyone! ❤️",36,2,Positive
POST01982,2025-10-11 05:00,Facebook,cloud gaming service,"Mixed feelings about cloud gaming service, some parts great some not.",28,0,Neutral
POST00655,2025-02-24 18:00,Twitter,e-commerce sale,"The e-commerce sale was launched today, here are the specifications.",5,3,Neutral
POST01119,2025-06-25 17:00,Twitter,e-commerce sale,"Absolutely loving the e-commerce sale, works flawlessly! #happy ❤️",2,9,Positive
POST01955,2025-01-19 06:00,Twitter,cloud gaming service,"Mixed feelings about cloud gaming service, some parts great some not.",10,9,Neutral
POST00174,2025-02-21 16:00,YouTube,airline service,"Great value for money with airline service, totally worth it. 😊",22,3,Positive
POST00290,2025-08-30 22:00,Facebook,new smartphone,"Best new smartphone I've used so far, highly recommend it to everyone! ❤️",49,23,Positive
POST00421,2025-05-21 01:00,Facebook,customer support,"Really impressed by how well customer support performs, well done!",39,2,Positive
POST00248,2025-02-09 10:00,YouTube,new smartphone,"The customer service for new smartphone was fantastic, quick and helpful. ❤️",34,5,Positive
POST00238,2025-10-18 19:00,Facebook,online banking app,"The online banking app keeps crashing, so frustrating to deal with. 😡",7,2,Positive
POST01476,2025-03-02 19:00,Facebook,fitness tracker,"Can't stop recommending fitness tracker to my friends, it's brilliant. 😊",6,0,Positive
POST01357,2025-02-26 05:00,Twitter,laptop brand,Why is laptop brand so slow today? Getting really annoyed. 😞,22,1,Negative
POST01084,2025-02-17 22:00,Instagram,new movie release,"The new movie release update ruined everything, please fix this asap. 😡",9,0,Negative
POST00024,2025-12-15 23:00,Twitter,fitness tracker,"The fitness tracker was launched today, here are the specifications.",17,0,Neutral
POST00977,2025-06-17 16:00,Instagram,laptop brand,"Saw an ad for laptop brand today, might check it out later. 🤔",5,3,Neutral
POST00064,2025-10-10 22:00,YouTube,electric car,"Can't stop recommending electric car to my friends, it's brilliant.",2,18,Positive
POST01727,2025-01-29 03:00,Instagram,cloud gaming service,"The cloud gaming service broke down after just one week, very poor quality.",29,1,Negative
POST00189,2025-12-25 09:00,Facebook,e-commerce sale,"Absolutely loving the e-commerce sale, works flawlessly! #happy ❤️",22,3,Positive
POST00708,2025-11-01 01:00,Twitter,e-commerce sale,"The e-commerce sale keeps crashing, so frustrating to deal with. 😡",40,2,Negative
POST00983,2025-10-15 19:00,Instagram,cloud gaming service,"Extremely poor service from cloud gaming service, never again. 😞",8,1,Negative
POST01767,2025-05-22 13:00,Facebook,fitness tracker,"Extremely poor service from fitness tracker, never again. 😞",0,6,Negative
POST00742,2025-01-02 10:00,Instagram,airline service,"Super smooth experience with airline service today, very happy customer here. 👍",0,5,Positive
POST00916,2025-07-22 07:00,YouTube,fitness tracker,"Not sure yet what to think about fitness tracker, still testing it out.",10,0,Neutral
POST01429,2025-10-11 02:00,Facebook,customer support,"Terrible customer support for customer support, waited hours for a reply.",10,8,Negative
POST01037,2025-09-13 17:00,YouTube,new movie release,"Really disappointed with new movie release, expected way better.",11,4,Negative
POST00197,2025-03-14 07:00,Twitter,new movie release,"Can't stop recommending new movie release to my friends, it's brilliant.",4,1,Positive
POST01695,2025-09-21 13:00,YouTube,e-commerce sale,"Saw an ad for e-commerce sale today, might check it out later. 🤔",3,0,Neutral
POST00949,2025-11-25 10:00,YouTube,laptop brand,"The laptop brand keeps crashing, so frustrating to deal with. 😡",5,6,Negative
POST01932,2025-02-07 07:00,YouTube,streaming app,"Mixed feelings about streaming app, some parts great some not.",16,3,Positive
